                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0861,                0.83293,                 1.1471,                 1.2649,                0.32461,                   0.02,                 0.0134,                0.00868,                0.16254,                   0.03,                 0.0202,                0.00677,                    nan,                0.34043,                    nan,                    nan,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.0722,                0.77739,                 1.0664,                 1.2459,                0.26424,                   0.03,                0.02289,                0.01991,                0.36851,                   0.05,                 0.0385,                 0.0167,                    nan,                0.45219,                    nan,                    nan,               0.001905,               0.001905,               0.001905
                     27,                  1.009,                 0.8008,                 1.0612,                 1.2123,                 0.1334,                   0.03,                0.01195,                0.00825,                 0.1334,                   0.03,                0.01243,                0.00384,                    nan,                0.45542,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     28,                0.98809,                0.74752,                 1.1176,                 1.2265,                0.08028,                   0.02,                 0.0066,                0.00458,                0.10395,                   0.02,                 0.0065,                0.00177,                    nan,                0.37635,                    nan,                    nan,               0.001897,               0.001897,               0.001897
                     29,                0.98304,                0.70141,                 1.0171,                 1.2253,                0.12931,                   0.03,                0.01593,                0.01328,                0.48005,                   0.02,                0.01276,                0.00556,                    nan,                0.45048,                    nan,                    nan,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.0016,                0.75721,                 1.0049,                 1.2351,                0.14275,                   0.03,                0.02094,                0.01593,                0.26362,                   0.03,                0.01998,                  0.005,                    nan,                0.38916,                    nan,                    nan,              0.0018891,              0.0018891,              0.0018891
                     31,                  1.019,                0.73454,                 1.0569,                 1.2418,                0.16057,                   0.02,                0.00794,                0.00638,                0.16536,                   0.02,                0.00943,                0.00408,                    nan,                0.34964,                    nan,                    nan,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.0318,                0.73292,                0.98245,                 1.2388,                0.38002,                   0.03,                0.02366,                0.01602,                0.38002,                   0.03,                0.02411,                0.00792,                    nan,                0.35136,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     33,                 1.0364,                0.72639,                 1.0641,                 1.2496,                0.14665,                   0.02,                0.00927,                0.00633,                0.13678,                   0.02,                0.01533,                0.00536,                    nan,                0.35976,                    nan,                    nan,              0.0018772,              0.0018772,              0.0018772
                     34,                0.97796,                0.75349,                0.98769,                 1.1998,                0.00224,                   0.05,                0.00608,                0.00314,                0.00134,                   0.03,                0.00491,                0.00278,                    nan,                0.43784,                    nan,                    nan,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.0012,                0.72784,                 1.0045,                 1.2203,                0.50736,                   0.02,                0.01265,                0.01059,                0.50736,                   0.02,                0.01091,                0.00466,                    nan,                0.55024,                    nan,                    nan,              0.0018693,              0.0018693,              0.0018693
                     36,                0.94924,                0.71685,                 0.9508,                 1.1855,                0.40342,                   0.03,                0.02858,                0.02274,                0.40342,                   0.03,                0.03432,                0.01282,                    nan,                0.30171,                    nan,                    nan,              0.0018654,              0.0018654,              0.0018654
                     37,                0.91152,                0.72747,                0.88011,                 1.1753,                0.18299,                   0.03,                0.01566,                0.01309,                0.16181,                   0.03,                0.01997,                0.00912,                    nan,                0.36474,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     38,                0.95176,                0.64529,                0.95457,                 1.2397,                0.24719,                   0.03,                0.01633,                0.01096,                0.24719,                   0.03,                0.01668,                0.00432,                    nan,                0.51873,                    nan,                    nan,              0.0018574,              0.0018574,              0.0018574
                     39,                0.94204,                0.68093,                 1.0215,                 1.1996,                0.43413,                   0.02,                0.00979,                0.00772,                0.43413,                   0.02,                0.01002,                0.00487,                    nan,                 0.3901,                    nan,                    nan,              0.0018535,              0.0018535,              0.0018535
                     40,                0.94812,                0.68421,                0.97709,                 1.2095,                0.47961,                   0.03,                0.02326,                0.01873,                0.47961,                   0.03,                0.02614,                0.01252,                    nan,                0.34488,                    nan,                    nan,              0.0018495,              0.0018495,              0.0018495
                     41,                0.96391,                0.71886,                0.91982,                  1.222,                 0.6804,                   0.03,                 0.0234,                0.01619,                 0.4536,                   0.02,                0.01169,                  0.007,                    nan,                0.62283,                    nan,                    nan,              0.0018456,              0.0018456,              0.0018456
                     42,                0.91228,                0.73704,                0.91474,                 1.2027,                0.92773,                   0.02,                0.01719,                 0.0137,                0.92773,                   0.02,                0.01666,                0.00751,                    nan,                0.76364,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     43,                0.90028,                0.63501,                0.88937,                 1.1835,                0.91296,                   0.02,                0.01942,                0.01511,                0.91296,                   0.02,                0.02118,                0.00835,                    nan,                0.57707,                    nan,                    nan,              0.0018376,              0.0018376,              0.0018376
                     44,                0.91363,                0.72694,                0.87773,                 1.1702,                 0.1056,                   0.02,                0.00872,                0.00736,                 0.1056,                   0.02,                0.01093,                0.00434,                    nan,                0.39051,                    nan,                    nan,              0.0018337,              0.0018337,              0.0018337
                     45,                0.86065,                0.67051,                0.83321,                 1.1735,                0.20319,                   0.03,                0.02223,                0.01689,                0.90937,                   0.02,                0.01858,                0.01262,                    nan,                0.33037,                    nan,                    nan,              0.0018297,              0.0018297,              0.0018297
                     46,                0.90085,                0.68378,                0.89624,                 1.1859,                0.19946,                   0.03,                0.02757,                0.01873,                0.92254,                   0.02,                0.02335,                0.01232,                    nan,                0.37999,                    nan,                    nan,              0.0018258,              0.0018258,              0.0018258
                     47,                0.87794,                0.66212,                0.83911,                 1.1643,                0.40753,                   0.02,                 0.0196,                0.01732,                 0.9476,                   0.02,                0.01619,                0.00846,                    nan,                0.61866,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     48,                0.86258,                0.70139,                0.83445,                 1.1437,                0.24223,                   0.02,                0.02282,                0.01824,                0.24223,                   0.02,                0.02549,                0.00975,                    nan,                0.39397,                    nan,                    nan,              0.0018178,              0.0018178,              0.0018178
                     49,                0.86511,                0.62887,                0.84548,                 1.1761,                0.32867,                   0.03,                0.02168,                0.01906,                0.91772,                   0.02,                0.01831,                0.00891,                    nan,                0.35163,                    nan,                    nan,              0.0018139,              0.0018139,              0.0018139
                     50,                0.84869,                0.64049,                0.85495,                 1.1424,                0.18378,                   0.02,                0.02031,                0.01679,                0.94812,                   0.02,                0.01775,                0.00684,                    nan,                0.45682,                    nan,                    nan,              0.0018099,              0.0018099,              0.0018099
