                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84792,                 1.3112,                 2.7262,                0.95132,                 0.4846,                0.12905,                0.39214,                0.29955,                 0.4846,                0.12905,                0.39018,                0.24617,                    nan,                 1.2026,                    nan,                    nan,              0.0003299,              0.0003299,              0.0003299
                      2,                0.77368,                 1.0142,                 1.7214,                0.90762,                0.62254,                0.62942,                0.62163,                 0.4777,                0.62429,                 0.6293,                0.61276,                0.36884,                    nan,                0.99203,                    nan,                    nan,             0.00065995,             0.00065995,             0.00065995
                      3,                0.77746,                0.99896,                 1.5047,                0.91169,                0.54036,                0.63862,                0.56559,                0.42086,                0.54052,                0.62428,                0.55581,                0.31741,                    nan,                0.94329,                    nan,                    nan,              0.0009867,              0.0009867,              0.0009867
                      4,                0.72885,                 0.9109,                 1.3267,                0.91078,                 0.6842,                0.71889,                0.75194,                 0.5906,                0.67815,                0.71014,                0.73688,                0.45556,                    nan,                0.90553,                    nan,                    nan,             0.00098515,             0.00098515,             0.00098515
                      5,                0.71497,                0.90032,                 1.2474,                0.90567,                0.72395,                0.75622,                0.76563,                0.61489,                0.71261,                0.74855,                0.74696,                0.46076,                    nan,                0.92801,                    nan,                    nan,             0.00098515,             0.00098515,             0.00098515
                      6,                 0.6665,                 0.8825,                 1.1197,                0.89208,                0.79898,                0.76079,                0.81274,                0.66883,                0.81051,                0.74255,                0.80084,                0.51981,                    nan,                0.80906,                    nan,                    nan,              0.0009802,              0.0009802,              0.0009802
                      7,                0.65333,                0.85671,                 1.0583,                0.89207,                0.77553,                0.73877,                0.79718,                0.63987,                0.77231,                0.72913,                0.78324,                0.50016,                    nan,                 0.8378,                    nan,                    nan,             0.00097525,             0.00097525,             0.00097525
                      8,                0.63626,                0.82163,                0.97491,                0.87831,                0.80217,                0.77299,                0.83167,                0.68681,                0.79143,                0.76205,                0.81726,                0.53544,                    nan,                0.80007,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      9,                 0.6178,                0.79818,                0.93429,                0.88422,                0.84151,                0.79174,                0.87367,                0.73838,                0.83457,                0.78445,                0.85792,                0.56143,                    nan,                0.82989,                    nan,                    nan,             0.00096535,             0.00096535,             0.00096535
                     10,                0.60284,                0.81366,                 0.8915,                0.87347,                0.73385,                0.78855,                0.79397,                0.66817,                0.72756,                 0.7779,                0.78432,                0.49304,                    nan,                0.81028,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                     11,                0.58984,                0.80664,                0.85814,                0.87427,                0.81968,                0.77186,                0.86469,                0.72808,                0.82957,                0.74721,                0.84038,                0.55419,                    nan,                0.86781,                    nan,                    nan,             0.00095545,             0.00095545,             0.00095545
                     12,                0.59531,                0.76962,                0.82347,                0.87564,                0.92333,                 0.8494,                0.93027,                0.79437,                0.90979,                0.83718,                 0.9093,                0.61279,                    nan,                0.86913,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                     13,                0.58445,                0.78996,                0.80655,                0.87937,                0.86482,                0.81405,                0.87894,                0.74933,                0.85765,                 0.8014,                0.86485,                0.59306,                    nan,                0.75645,                    nan,                    nan,             0.00094555,             0.00094555,             0.00094555
                     14,                0.57435,                0.76942,                0.75384,                0.87043,                0.87901,                0.80916,                0.89767,                0.77992,                0.87697,                0.80635,                0.88936,                0.59864,                    nan,                0.80104,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                     15,                0.55969,                0.75701,                0.75445,                0.86602,                  0.907,                0.84279,                0.91302,                0.79517,                0.89804,                0.84002,                0.89867,                0.61602,                    nan,                0.79543,                    nan,                    nan,             0.00093565,             0.00093565,             0.00093565
                     16,                0.55336,                0.75764,                0.73904,                 0.8632,                0.90992,                0.82106,                0.89819,                0.78255,                0.91141,                0.82031,                0.89446,                0.60274,                    nan,                0.87311,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     17,                0.54971,                0.73219,                0.73281,                0.86087,                 0.9037,                 0.8492,                0.92558,                0.81702,                0.90379,                0.84049,                0.91293,                0.62887,                    nan,                 0.8522,                    nan,                    nan,             0.00092575,             0.00092575,             0.00092575
                     18,                0.54447,                0.72581,                0.69774,                0.86332,                0.88993,                0.84952,                0.91191,                0.80285,                0.89289,                0.83951,                0.89884,                0.61557,                    nan,                0.82818,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     19,                0.54094,                0.73093,                0.70101,                0.86197,                0.87863,                0.82758,                0.91442,                0.79591,                0.88372,                0.81879,                0.90447,                0.61628,                    nan,                 0.7843,                    nan,                    nan,             0.00091585,             0.00091585,             0.00091585
                     20,                0.53331,                0.73908,                0.68394,                0.85634,                0.91098,                0.82025,                0.90656,                0.79192,                0.90386,                0.81448,                0.89718,                0.58738,                    nan,                0.89854,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     21,                0.53408,                0.73122,                0.67939,                0.86048,                0.90863,                0.83239,                 0.9083,                0.80094,                0.90722,                0.82619,                0.89888,                0.62154,                    nan,                0.92602,                    nan,                    nan,             0.00090595,             0.00090595,             0.00090595
                     22,                0.52434,                0.71975,                 0.6674,                0.85797,                0.87191,                0.84892,                0.91639,                0.81018,                0.86404,                0.84201,                0.90461,                0.61096,                    nan,                0.75178,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     23,                0.51637,                0.69939,                0.64654,                0.85052,                 0.9102,                0.86503,                0.92821,                0.82636,                0.91126,                0.86076,                0.91743,                0.64147,                    nan,                0.81434,                    nan,                    nan,             0.00089605,             0.00089605,             0.00089605
                     24,                0.51712,                0.71184,                0.63365,                0.85332,                0.92502,                0.84604,                 0.9327,                0.82663,                 0.9149,                0.84677,                0.92475,                0.64528,                    nan,                0.84649,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     25,                0.52597,                0.71605,                 0.6374,                0.85109,                 0.9233,                0.85137,                0.92112,                0.81897,                0.91883,                0.84388,                0.90751,                0.61312,                    nan,                 0.7963,                    nan,                    nan,             0.00088615,             0.00088615,             0.00088615
