                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.5837,                 1.9283,                 1.8059,                 1.6825,                 0.1866,                0.16129,                0.03623,                0.00929,                0.31542,                0.06452,                 0.0521,                0.02172,                    nan,                  1.972,                    nan,                    nan,              0.0019545,              0.0019545,              0.0019545
                     26,                 1.7532,                 2.1834,                 1.9698,                 1.8065,                0.21767,                0.13487,                0.06046,                0.01852,                0.88499,                0.03226,                0.03643,                0.01821,                    nan,                 2.2064,                    nan,                    nan,              0.0019525,              0.0019525,              0.0019525
                     27,                 1.6058,                 1.9908,                 1.8753,                  1.657,                0.31831,                0.12903,                0.12444,                0.03543,                0.86068,                0.06452,                0.06953,                0.02536,                    nan,                 2.2563,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                     28,                 1.4582,                 1.9684,                 1.7511,                 1.5653,                0.31404,                0.06452,                0.06389,                  0.021,                0.31404,                0.06452,                0.06125,                0.01425,                    nan,                 2.0849,                    nan,                    nan,              0.0019485,              0.0019485,              0.0019485
                     29,                 1.5487,                 1.9917,                 1.7035,                 1.6424,                0.29444,                0.14858,                0.10928,                0.02621,                0.11603,                0.09677,                0.05294,                0.01787,                    nan,                 2.0125,                    nan,                    nan,              0.0019465,              0.0019465,              0.0019465
                     30,                 1.6604,                 2.0722,                 1.7653,                 1.6954,                0.24208,                0.16129,                0.09437,                0.03202,                0.09683,                0.06452,                0.03982,                0.01979,                    nan,                 2.0585,                    nan,                    nan,              0.0019446,              0.0019446,              0.0019446
                     31,                 1.5666,                 1.8606,                 1.7563,                 1.6783,                0.66163,                0.12903,                0.10275,                0.02695,                 0.5824,                0.06452,                0.04511,                0.01269,                    nan,                 1.9616,                    nan,                    nan,              0.0019426,              0.0019426,              0.0019426
                     32,                 1.5726,                 2.1128,                 1.6835,                 1.7389,                0.20324,                0.16129,                 0.0941,                0.03879,                0.47754,                0.03226,                0.01811,                0.01068,                    nan,                 2.2062,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                     33,                 1.5466,                  2.136,                 1.7357,                 1.6543,                0.20523,                0.16129,                0.05857,                 0.0284,                0.47719,                0.03226,                0.01812,                0.01252,                    nan,                 2.4785,                    nan,                    nan,              0.0019386,              0.0019386,              0.0019386
                     34,                  1.508,                 2.0045,                 1.6801,                 1.6243,                0.15256,                0.12903,                0.06307,                0.02685,                0.14486,                0.06452,                0.04146,                0.00899,                    nan,                 1.9062,                    nan,                    nan,              0.0019366,              0.0019366,              0.0019366
                     35,                  1.503,                 1.7924,                 1.6044,                 1.6394,                0.24186,                0.09677,                 0.0714,                0.02276,                0.76522,                0.03226,                0.03831,                0.00816,                    nan,                 1.8754,                    nan,                    nan,              0.0019347,              0.0019347,              0.0019347
                     36,                 1.4579,                 1.9189,                 1.5768,                 1.6032,                0.47574,                0.14721,                0.13418,                  0.051,                 0.1795,                0.09677,                0.05331,                0.01049,                    nan,                 1.7916,                    nan,                    nan,              0.0019327,              0.0019327,              0.0019327
                     37,                  1.564,                 1.9578,                 1.6522,                 1.6885,                0.55155,                0.09677,                0.08862,                0.04589,                 0.3677,                0.06452,                0.05099,                0.01496,                    nan,                 1.7719,                    nan,                    nan,              0.0019307,              0.0019307,              0.0019307
