                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.42552,                0.44937,                0.42504,                0.87489,                0.98008,                0.97098,                 0.9896,                0.92403,                0.98153,                0.96792,                0.99022,                0.82337,                    nan,                0.41584,                    nan,                    nan,              0.0097624,              0.0097624,              0.0097624
                     27,                0.42184,                0.45159,                0.42131,                0.87231,                0.97646,                0.96559,                0.98903,                0.92751,                0.97633,                0.96314,                0.98883,                0.82721,                    nan,                0.40215,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                     28,                0.41937,                0.45171,                0.42057,                0.87102,                0.97797,                0.96815,                0.98963,                0.93231,                0.97717,                0.96734,                0.98936,                0.82949,                    nan,                0.40954,                    nan,                    nan,              0.0097426,              0.0097426,              0.0097426
                     29,                0.41807,                0.45013,                0.42132,                0.87194,                0.98111,                0.97307,                0.98906,                0.93021,                0.98389,                0.96757,                0.98977,                0.82767,                    nan,                0.41187,                    nan,                    nan,              0.0097327,              0.0097327,              0.0097327
                     30,                0.41349,                0.44633,                0.41468,                 0.8692,                0.97797,                0.96878,                0.98932,                0.93072,                0.97615,                0.96711,                0.98951,                0.82476,                    nan,                  0.403,                    nan,                    nan,              0.0097228,              0.0097228,              0.0097228
                     31,                0.40953,                0.44043,                0.41007,                0.86889,                0.98456,                 0.9675,                 0.9904,                0.93545,                0.98239,                 0.9699,                0.99012,                0.82676,                    nan,                0.40472,                    nan,                    nan,              0.0097129,              0.0097129,              0.0097129
                     32,                0.40914,                0.44173,                0.40768,                0.86765,                0.98057,                0.97088,                0.98877,                0.92813,                0.98071,                0.97005,                0.98848,                0.81926,                    nan,                 0.4289,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                     33,                0.40955,                0.44415,                0.40987,                0.86846,                0.97629,                0.96802,                0.99033,                0.93424,                0.97529,                0.96707,                0.98949,                0.82804,                    nan,                0.40485,                    nan,                    nan,              0.0096931,              0.0096931,              0.0096931
                     34,                0.40474,                0.44746,                0.40979,                0.86673,                 0.9827,                0.96565,                0.98931,                0.92903,                0.98153,                0.96515,                0.98913,                0.81801,                    nan,                0.41523,                    nan,                    nan,              0.0096832,              0.0096832,              0.0096832
                     35,                0.40453,                0.44444,                0.40257,                 0.8652,                0.98137,                0.97258,                0.99072,                0.93305,                0.98348,                0.96962,                0.99031,                 0.8242,                    nan,                0.40503,                    nan,                    nan,              0.0096733,              0.0096733,              0.0096733
                     36,                0.40153,                0.43804,                0.39992,                0.86315,                0.98207,                0.96286,                0.98931,                0.93653,                0.97888,                0.96488,                0.98924,                0.82711,                    nan,                0.40492,                    nan,                    nan,              0.0096634,              0.0096634,              0.0096634
                     37,                0.40126,                0.43889,                0.39705,                0.86603,                0.98585,                 0.9675,                0.98988,                 0.9369,                0.98578,                0.96672,                0.98892,                0.82549,                    nan,                0.39938,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                     38,                0.40185,                0.43659,                0.39463,                0.86426,                0.98566,                0.97168,                0.99081,                0.93715,                0.98464,                0.96961,                   0.99,                0.82362,                    nan,                0.40991,                    nan,                    nan,              0.0096436,              0.0096436,              0.0096436
                     39,                0.39739,                0.42853,                0.39295,                0.86437,                0.98403,                0.97501,                0.99073,                0.93854,                0.98682,                0.96954,                 0.9902,                0.82275,                    nan,                0.40816,                    nan,                    nan,              0.0096337,              0.0096337,              0.0096337
                     40,                0.39518,                 0.4323,                0.38849,                0.86055,                 0.9851,                0.97232,                0.99074,                0.93984,                0.98992,                0.96914,                0.98997,                0.82863,                    nan,                0.40967,                    nan,                    nan,              0.0096238,              0.0096238,              0.0096238
                     41,                0.39823,                0.43424,                0.39001,                0.86384,                0.98541,                0.97733,                 0.9914,                0.94078,                0.98526,                0.97643,                0.99141,                0.82968,                    nan,                0.40693,                    nan,                    nan,              0.0096139,              0.0096139,              0.0096139
                     42,                0.39539,                0.43209,                 0.3901,                0.86398,                0.98822,                 0.9792,                0.99067,                0.94143,                0.98733,                0.97886,                0.99141,                0.83688,                    nan,                0.39941,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     43,                0.39332,                0.42751,                0.38596,                0.86007,                0.98619,                0.97308,                0.99055,                0.93811,                0.98562,                0.97155,                0.99074,                0.82747,                    nan,                0.40072,                    nan,                    nan,              0.0095941,              0.0095941,              0.0095941
                     44,                0.39116,                0.43089,                0.38329,                0.86202,                0.98037,                0.97487,                0.99044,                0.94048,                0.97942,                 0.9749,                0.99027,                0.82157,                    nan,                0.42579,                    nan,                    nan,              0.0095842,              0.0095842,              0.0095842
                     45,                0.38891,                0.43203,                0.38385,                0.86146,                 0.9798,                0.97229,                 0.9909,                0.94207,                0.97886,                0.97098,                0.99046,                0.82376,                    nan,                0.40629,                    nan,                    nan,              0.0095743,              0.0095743,              0.0095743
                     46,                0.38948,                0.43265,                0.38153,                0.86066,                0.98154,                 0.9732,                 0.9909,                0.94429,                0.98054,                 0.9722,                 0.9907,                0.83719,                    nan,                0.39277,                    nan,                    nan,              0.0095644,              0.0095644,              0.0095644
                     47,                 0.3856,                0.42374,                 0.3779,                0.85736,                 0.9822,                0.97304,                 0.9917,                0.94082,                0.98115,                0.96989,                0.99172,                0.83079,                    nan,                0.40538,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     48,                 0.3878,                0.42919,                0.38306,                0.85943,                0.98515,                0.97855,                0.99131,                0.94452,                0.98461,                0.97864,                 0.9913,                 0.8342,                    nan,                0.40622,                    nan,                    nan,              0.0095446,              0.0095446,              0.0095446
                     49,                 0.3865,                0.43146,                0.37852,                0.85592,                0.98724,                0.97842,                0.99237,                0.94349,                0.98621,                0.97584,                0.99169,                0.82951,                    nan,                0.39632,                    nan,                    nan,              0.0095347,              0.0095347,              0.0095347
                     50,                0.38483,                0.42323,                0.37743,                 0.8593,                  0.986,                0.97637,                0.99215,                 0.9412,                0.98622,                0.97439,                0.99187,                0.82097,                    nan,                0.41351,                    nan,                    nan,              0.0095248,              0.0095248,              0.0095248
                     51,                0.38431,                0.42375,                0.37622,                0.85709,                0.99032,                0.97316,                0.99174,                0.94822,                0.98853,                0.97108,                0.99139,                0.83533,                    nan,                0.40032,                    nan,                    nan,              0.0095149,              0.0095149,              0.0095149
                     52,                0.37983,                0.42063,                0.37907,                0.85552,                0.98496,                0.97569,                0.99207,                 0.9436,                0.98244,                0.97694,                0.99166,                0.83544,                    nan,                 0.3966,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     53,                0.37976,                0.42431,                0.37583,                0.85642,                0.98648,                0.97758,                0.99157,                0.94935,                0.98593,                0.97545,                0.99143,                0.83458,                    nan,                0.39753,                    nan,                    nan,              0.0094951,              0.0094951,              0.0094951
                     54,                0.37851,                0.42983,                0.37127,                0.85411,                0.99122,                 0.9783,                0.99258,                0.95048,                0.98988,                0.97569,                0.99169,                0.83332,                    nan,                0.40062,                    nan,                    nan,              0.0094852,              0.0094852,              0.0094852
                     55,                 0.3748,                0.41652,                0.36584,                0.85329,                0.98848,                0.98186,                0.99265,                0.95205,                0.98763,                0.97887,                0.99172,                0.83989,                    nan,                0.38478,                    nan,                    nan,              0.0094753,              0.0094753,              0.0094753
                     56,                0.37437,                0.42607,                0.36471,                0.84987,                0.98833,                 0.9792,                0.99177,                0.94985,                0.98983,                0.97409,                0.99096,                0.83583,                    nan,                0.39516,                    nan,                    nan,              0.0094654,              0.0094654,              0.0094654
                     57,                0.37538,                0.42137,                0.36342,                0.85045,                0.99013,                0.97481,                 0.9922,                0.94946,                0.99074,                0.97474,                0.99146,                0.82669,                    nan,                0.40227,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     58,                0.37244,                0.42738,                0.36389,                 0.8499,                0.98759,                 0.9777,                0.99188,                0.94975,                0.98696,                0.97628,                0.99145,                0.82973,                    nan,                0.39739,                    nan,                    nan,              0.0094456,              0.0094456,              0.0094456
