                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.41878,                0.34487,                0.39109,                0.88238,                0.94764,                0.52402,                0.61066,                0.56545,                0.94764,                0.52402,                0.61609,                0.53343,                    nan,                0.62076,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     27,                0.41099,                0.35072,                0.38918,                0.87968,                0.84313,                0.53978,                0.61889,                0.57682,                0.83845,                0.53555,                0.62087,                0.53686,                    nan,                0.75702,                    nan,                    nan,              0.0087625,              0.0087625,              0.0087625
                     28,                0.40883,                0.34311,                0.38235,                0.87977,                0.76854,                0.52094,                0.62076,                0.57779,                0.78121,                0.52345,                0.62631,                0.55021,                    nan,                0.50265,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     29,                 0.4054,                0.34593,                0.37858,                0.88178,                0.94918,                0.53564,                0.59733,                0.55809,                0.95201,                0.53822,                0.60125,                0.52724,                    nan,                0.62222,                    nan,                    nan,              0.0086635,              0.0086635,              0.0086635
                     30,                0.39763,                0.33558,                0.37144,                0.87692,                0.92739,                0.52722,                0.60447,                0.56835,                  0.925,                0.53097,                0.60772,                0.53347,                    nan,                 0.6102,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     31,                0.40036,                0.33903,                0.38127,                0.87413,                0.93839,                0.54068,                0.62213,                0.58197,                0.94157,                0.54249,                0.62482,                0.54604,                    nan,                0.56509,                    nan,                    nan,              0.0085645,              0.0085645,              0.0085645
                     32,                0.40164,                0.33974,                0.37089,                0.88036,                0.94391,                0.51174,                0.58964,                0.55633,                0.95032,                0.51433,                0.59224,                0.51735,                    nan,                0.63851,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     33,                 0.3927,                0.32544,                 0.3622,                0.87419,                 0.9736,                0.54585,                  0.619,                0.57998,                0.97613,                0.54771,                0.62331,                 0.5403,                    nan,                0.59157,                    nan,                    nan,              0.0084655,              0.0084655,              0.0084655
                     34,                0.39228,                0.32831,                0.35924,                0.87779,                0.91439,                0.52453,                 0.6172,                0.57561,                0.91675,                0.52573,                0.61916,                0.54332,                    nan,                  0.633,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     35,                0.38851,                 0.3203,                0.35394,                0.87322,                0.95705,                0.53658,                0.62002,                0.58465,                0.96822,                0.53517,                0.62494,                0.54962,                    nan,                0.56185,                    nan,                    nan,              0.0083665,              0.0083665,              0.0083665
                     36,                0.39086,                0.31872,                 0.3546,                0.87264,                0.83451,                0.51657,                0.58815,                0.55987,                0.84705,                0.51736,                0.59223,                0.52307,                    nan,                0.61719,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     37,                0.39172,                0.32527,                0.35519,                0.87492,                0.77443,                0.56268,                0.63737,                0.59615,                0.78597,                0.56594,                0.64298,                0.56345,                    nan,                0.71269,                    nan,                    nan,              0.0082675,              0.0082675,              0.0082675
                     38,                0.37274,                0.31641,                0.34098,                0.86824,                 0.8633,                0.52953,                0.59031,                0.55778,                 0.8833,                0.53212,                0.59444,                0.52516,                    nan,                0.54465,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     39,                0.37887,                0.32758,                0.34639,                0.86985,                0.84337,                 0.5199,                0.59978,                0.56894,                0.84853,                0.52102,                0.60296,                 0.5315,                    nan,                0.54472,                    nan,                    nan,              0.0081685,              0.0081685,              0.0081685
                     40,                0.37822,                0.32445,                0.34002,                0.86974,                0.91973,                0.50949,                 0.5705,                 0.5379,                0.90426,                 0.5113,                0.57258,                0.49963,                    nan,                 0.5864,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     41,                0.37191,                0.32137,                0.33668,                0.86749,                0.88465,                0.51993,                 0.6057,                0.57447,                0.88655,                0.52182,                0.60974,                0.53859,                    nan,                0.54612,                    nan,                    nan,              0.0080695,              0.0080695,              0.0080695
                     42,                 0.3689,                0.31573,                0.33915,                0.86565,                0.86619,                0.48872,                0.55839,                0.52967,                0.86318,                0.49123,                 0.5609,                0.48849,                    nan,                0.58285,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     43,                0.36923,                0.30937,                0.32889,                0.86778,                0.97227,                0.50344,                0.56287,                0.53504,                0.97469,                0.50345,                 0.5657,                 0.4982,                    nan,                0.58377,                    nan,                    nan,              0.0079705,              0.0079705,              0.0079705
                     44,                0.36321,                0.30209,                0.33275,                0.86315,                0.89054,                0.48518,                0.55877,                0.52647,                0.89333,                0.48644,                0.56535,                0.49141,                    nan,                0.67663,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     45,                0.36484,                 0.3093,                 0.3368,                0.86771,                  0.799,                0.50758,                0.58237,                0.55416,                0.80027,                0.50817,                0.58416,                0.51669,                    nan,                0.62504,                    nan,                    nan,              0.0078715,              0.0078715,              0.0078715
                     46,                0.36324,                0.31143,                0.32894,                0.86652,                0.89985,                0.52425,                0.60357,                0.57675,                0.89846,                0.52562,                0.60893,                0.53825,                    nan,                0.59563,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     47,                0.36192,                0.31128,                0.32617,                0.86771,                0.86572,                0.52301,                0.58715,                0.55966,                0.87268,                 0.5285,                 0.5909,                0.51817,                    nan,                0.68626,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     48,                0.35956,                0.31136,                 0.3247,                0.86346,                0.90831,                0.51591,                0.58336,                0.55539,                0.90954,                0.51653,                0.58625,                0.51616,                    nan,                0.66359,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     49,                0.35889,                0.30923,                0.32688,                0.86369,                0.83028,                0.49661,                0.57522,                0.54701,                0.82897,                0.49794,                0.57707,                0.51309,                    nan,                0.66815,                    nan,                    nan,              0.0076735,              0.0076735,              0.0076735
                     50,                0.35684,                0.30947,                0.32231,                0.86561,                0.81708,                0.50903,                0.58417,                0.55387,                0.82984,                0.51087,                0.59047,                0.52078,                    nan,                0.59053,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     51,                0.35085,                0.30935,                 0.3165,                0.86185,                0.91716,                 0.5381,                0.61864,                0.58594,                0.91257,                0.53816,                0.61928,                0.54587,                    nan,                0.70177,                    nan,                    nan,              0.0075745,              0.0075745,              0.0075745
